d,Z,L,KE,At.Risk,CA,error,ion,nn,Z.b,beta,Nweight,Comment,year
0.005,1,0.4,250,1002,0.002473054,0.002473054,H250,,2.646906979,0.614653927,163505.6638,Hada experiment number P-19 done in summer/fall 2018,2018
0.01,1,0.4,250,1005,0.004931343,0.003486986,H250,,2.646906979,0.614653927,82243.12285,Hada experiment number P-19 done in summer/fall 2018,2018
0.05,1,0.4,250,1006,0.009852883,0.004926441,H250,,2.646906979,0.614653927,41203.43545,Hada experiment number P-19 done in summer/fall 2018,2018
0.1,1,0.4,250,2031,0.015861152,0.004399092,H250,,2.646906979,0.614653927,51674.21772,Hada experiment number P-19 done in summer/fall 2018,2018
0.2,1,0.4,250,2034,0.029238938,0.005968373,H250,,2.646906979,0.614653927,28072.95218,Hada experiment number P-19 done in summer/fall 2018,2018
0.4,1,0.4,250,2032,0.030487205,0.006097441,H250,,2.646906979,0.614653927,26897.05844,Hada experiment number P-19 done in summer/fall 2018,2018
0,2,1.58,250,1009,0.004911794,0.003473163,He250,4,10.58762792,0.614653927,82899.0719,Hada experiment number P-19 done in summer/fall 2018,2018
0.005,2,1.58,250,1007,0.012303873,0.005502459,He250,4,10.58762792,0.614653927,33028.31132,Hada experiment number P-19 done in summer/fall 2018,2018
0.01,2,1.58,250,1002,0.002473054,0.002473054,He250,4,10.58762792,0.614653927,163505.6638,Hada experiment number P-19 done in summer/fall 2018,2018
0.05,2,1.58,250,1011,0.014706231,0.006003794,He250,4,10.58762792,0.614653927,27742.68144,Hada experiment number P-19 done in summer/fall 2018,2018
0.1,2,1.58,250,2015,0.01475732,0.004260071,He250,4,10.58762792,0.614653927,55101.86843,Hada experiment number P-19 done in summer/fall 2018,2018
0.2,2,1.58,250,1011,0.026961424,0.008129175,He250,4,10.58762792,0.614653927,15132.37357,Hada experiment number P-19 done in summer/fall 2018,2018
0.4,2,1.58,250,1016,0.029267717,0.008448862,He250,4,10.58762792,0.614653927,14008.88489,Hada experiment number P-19 done in summer/fall 2018,2018
0,8,20.93,350,2009,0.00493,0.00247,O350,,135.8809964,0.686294669,163910.2428,Hada experiment number P-19 done in summer/fall 2018,2018
0.005,8,20.93,350,1004,0.0074,0.00427,O350,,135.8809964,0.686294669,54845.91041,Hada experiment number P-19 done in summer/fall 2018,2018
0.01,8,20.93,350,1005,0.00986,0.00493,O350,,135.8809964,0.686294669,41143.96685,Hada experiment number P-19 done in summer/fall 2018,2018
0.05,8,20.93,350,1512,0.01967,0.00568,O350,,135.8809964,0.686294669,30995.83416,Hada experiment number P-19 done in summer/fall 2018,2018
0.1,8,20.93,350,1807,0.01646,0.00475,O350,,135.8809964,0.686294669,44321.32964,Hada experiment number P-19 done in summer/fall 2018,2018
0.2,8,20.93,350,2025,0.01958,0.00489,O350,,135.8809964,0.686294669,41819.8318,Hada experiment number P-19 done in summer/fall 2018,2018
0.4,8,20.93,350,930,0.04796,0.0113,O350,,135.8809964,0.686294669,7831.466834,Hada experiment number P-19 done in summer/fall 2018,2018
0,22,171.43,300,1009,0.007367691,0.003007847,Ti300,,1132.878482,0.653628555,110532.1245,Hada experiment number P-19 done in summer/fall 2018,2018
0.005,22,171.43,300,1007,0.012303873,0.005502459,Ti300,,1132.878482,0.653628555,33028.31132,Hada experiment number P-19 done in summer/fall 2018,2018
0.01,22,171.43,300,1004,0.007404382,0.003022826,Ti300,,1132.878482,0.653628555,109439.3996,Hada experiment number P-19 done in summer/fall 2018,2018
0.05,22,171.43,300,1009,0.022103072,0.007367691,Ti300,,1132.878482,0.653628555,18422.01762,Hada experiment number P-19 done in summer/fall 2018,2018
0.1,22,171.43,300,1016,0.031706693,0.012944203,Ti300,,1132.878482,0.653628555,5968.282471,Hada experiment number P-19 done in summer/fall 2018,2018
0.2,22,171.43,300,1036,0.064581081,0.012428635,Ti300,,1132.878482,0.653628555,6473.708381,Hada experiment number P-19 done in summer/fall 2018,2018
0.4,22,171.43,300,911,0.100643249,0.041087,Ti300,,1132.878482,0.653628555,592.367381,Hada experiment number P-19 done in summer/fall 2018,2018
